generation,minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_MEMORY_EFFICIENCY_LOSS,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_MEMORY_EFFICIENCY_LOSS,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_SLA_VIOLATION
1,5,6,0.5,0.6,20,350,576,0.5285480381165406,9139.273529411765,24567971.84,5.2,9139.329411764706,0.29041100995414326,0,0.04067681206597222,2691,8281,19669,0.15999999999999998,0.7705882352941177,0.7095889900458567,0.9593231879340278,1.82,2.9250000000000003,0.22941176470588232,13.297502359903334,23.96684766063168,75.77999999999999,181.81562500000007,0.24325259515570927
1,3,4,0.7,0.6,10,500,1024,0.508612006166201,10444.542857142857,28403029.333333332,3,10444.593650793651,0.33907467077746734,0.022222222222222223,0.026452382405598957,2574,9670,26110,0,0.7396825396825397,0.6609253292225327,0.973547617594401,1.5,3,0.2603174603174603,11.581482599420362,24.668421710687753,50.5,192.0625,0.3185285966238346
1,4,6,0.8,0.8,10,200,576,0.24479651743539846,25544.67948717949,23426978.90909091,4,25544.75641025641,0.30599564679424807,0.1282051282051282,0.03878768766769255,5894,21653,59736,0,0.391025641025641,0.6940043532057519,0.9612123123323074,0.8,2.25,0.608974358974359,12.735055409919104,24.059440046812842,13.050000000000004,102.25,3.285134779750165
1,1,4,0.6,0.8,10,400,768,0.19079077812845538,45160.17733990148,24507733.333333332,1,45160.231527093594,0.4769769453211385,0.5960591133004927,0.030432807074652776,23532,60763,60763,0,0.13793103448275862,0.5230230546788615,0.9695671929253472,0.4,0.75,0.8620689655172413,7.361850947819045,24.47108073285378,2.650000000000001,7,7.875434007134364
1,5,6,0.6,0.7,15,400,384,0.6059622772528689,7877.65206185567,23468605.44,5.2,7877.7139175257735,0.29132801791003315,0,0.058284912109374996,2355,6068,19367,0.15999999999999998,0.8505154639175257,0.7086719820899668,0.941715087890625,2.08,1.9500000000000002,0.14948453608247425,13.264071437073026,23.112397756911815,100.09,74.2,0.14948453608247425
1,3,4,0.7,0.6,20,500,1024,0.46359485752074725,9066.111111111111,23691870.814814817,3,9066.16081871345,0.3090632383471648,0,0.02206477412471065,2435,7992,21282,0,0.783625730994152,0.6909367616528352,0.9779352258752894,1.5,3,0.216374269005848,12.625776976735507,24.88686787606912,50.5,192.0625,0.220664135973462
1,5,6,0.6,0.7,15,150,384,0.19021130044520854,29883.32,23342635.885714285,5,29883.393333333333,0.25361506726027805,0.20666666666666667,0.05797206333705357,10375,29391,55572,0,0.3333333333333333,0.746384932739722,0.9420279366629465,0.75,1.875,0.6666666666666667,14.673646628261704,23.127443772999158,11.3125,67.890625,4.1511111111111125
1,1,6,0.5,0.6,20,400,576,0.1783867813809121,55285.75762195122,24584874.666666668,1,55285.77896341463,0.44596695345228016,0.8597560975609756,0.04070479781539352,60554,60554,60554,0,0.04573170731707317,0.5540330465477199,0.9592952021846065,0.4,0.5625,0.9542682926829268,8.22784846322142,23.965477325544732,2.650000000000001,3.00390625,10.056998810232002
2,3,4,0.6,0.7,15,150,1024,0.13373164604189489,38064.75213675214,23524238.222222224,3,38064.820512820515,0.29718143564865535,0.5811965811965812,0.02190865410698785,12255,57003,57003,0,0.37606837606837606,0.7028185643513447,0.9780913458930122,0.45,3,0.6239316239316239,13.051666924273478,24.894658368663116,3.5125,192.0625,3.499419972240485
2,5,6,0.6,0.7,15,150,384,0.19021130044520854,29883.32,23342635.885714285,5,29883.393333333333,0.25361506726027805,0.20666666666666667,0.05797206333705357,10375,29391,55572,0,0.3333333333333333,0.746384932739722,0.9420279366629465,0.75,1.875,0.6666666666666667,14.673646628261704,23.127443772999158,11.3125,67.890625,4.1511111111111125
2,1,4,0.6,0.8,10,400,768,0.19079077812845538,45160.17733990148,24507733.333333332,1,45160.231527093594,0.4769769453211385,0.5960591133004927,0.030432807074652776,23532,60763,60763,0,0.13793103448275862,0.5230230546788615,0.9695671929253472,0.4,0.75,0.8620689655172413,7.361850947819045,24.47108073285378,2.650000000000001,7,7.875434007134364
2,5,6,0.7,0.6,10,500,1024,0.7330841194742557,6528.837894736842,23433707.52,5,6528.882105263158,0.2932336477897023,0,0.0218243408203125,1848,5600,17216,0,0.9094736842105263,0.7067663522102977,0.9781756591796875,2.5,5,0.09052631578947368,13.194733267626564,24.89886616447009,146.5,569.0625,0.09052631578947368
2,5,6,0.6,0.7,15,400,384,0.6059622772528689,7877.65206185567,23468605.44,5.2,7877.7139175257735,0.29132801791003315,0,0.058284912109374996,2355,6068,19367,0.15999999999999998,0.8505154639175257,0.7086719820899668,0.941715087890625,2.08,1.9500000000000002,0.14948453608247425,13.264071437073026,23.112397756911815,100.09,74.2,0.14948453608247425
2,1,4,0.6,0.7,15,400,768,0.19350840978435377,23191.30821917808,24619827.2,1.4,23191.404109589042,0.3455507317577746,0.15753424657534246,0.03057200113932292,3188,19491,54669,0.24,0.3972602739726027,0.6544492682422254,0.9694279988606771,0.56,1.0499999999999998,0.6027397260273972,11.362045385811832,24.464194123236105,5.850000000000001,17.049999999999994,3.1979283167573644
2,1,4,0.8,0.8,10,200,576,0.09472292774336966,51797.917918341445,24440149.333333332,1,51797.91918764544,0.4736146387168482,0.997884493336154,0.0404651783130787,51886,51886,51886,0,0.001903955997461392,0.5263853612831517,0.9595348216869213,0.2,0.5625,0.9980960440025386,7.453424075613006,23.977211672430712,0.45,3.00390625,11.189412771242573
2,5,6,0.7,0.7,15,150,576,0.2139721234233613,22199.982035928144,24648782.769230768,5,22200.047904191615,0.28529616456448176,0.029940119760479042,0.040810609475160256,8737,19339,49725,0,0.40119760479041916,0.7147038354355182,0.9591893905248398,0.75,2.8125,0.5988023952095809,13.484743145091524,23.96029656291018,11.3125,166.97265625,3.1434960020079608
2,1,6,0.5,0.6,20,400,576,0.1783867813809121,55285.75762195122,24584874.666666668,1,55285.77896341463,0.44596695345228016,0.8597560975609756,0.04070479781539352,60554,60554,60554,0,0.04573170731707317,0.5540330465477199,0.9592952021846065,0.4,0.5625,0.9542682926829268,8.22784846322142,23.965477325544732,2.650000000000001,3.00390625,10.056998810232002
2,4,5,0.8,0.8,20,500,1024,0.5628151515086239,7385.002415458937,23540736,4,7385.048309178744,0.28140757575431197,0,0.02192401885986328,2484,7716,14567,0,0.9589371980676329,0.718592424245688,0.9780759811401367,2,4,0.04106280193236711,13.62796922882806,24.893891603221164,92.25,355.5625,0.04106280193236711
3,3,4,0.6,0.7,15,150,384,0.13636627613822724,44700.8347107438,23334144,3.25,44700.90082644628,0.2797256946425174,0.6363636363636364,0.05795097351074219,17060,58642,58642,0.1875,0.23140495867768596,0.7202743053574826,0.9420490264892578,0.4875,1.21875,0.768595041322314,13.690151179312586,23.128458234223217,4.241406249999999,24.6806640625,5.941400177583497
3,5,6,0.6,0.6,20,400,384,0.6638834678624265,19960.9921612542,23430021.119999997,5,19961.0078387458,0.33194173393121323,0.5531914893617021,0.05818908691406251,6321,29724,29724,0,0.3594624860022396,0.6680582660687868,0.9418109130859375,2,1.875,0.6405375139977604,11.825604437639637,23.117005813280116,92.25,67.890625,3.7457103338269913
3,1,6,0.5,0.6,20,400,576,0.1783867813809121,55285.75762195122,24584874.666666668,1,55285.77896341463,0.44596695345228016,0.8597560975609756,0.04070479781539352,60554,60554,60554,0,0.04573170731707317,0.5540330465477199,0.9592952021846065,0.4,0.5625,0.9542682926829268,8.22784846322142,23.965477325544732,2.650000000000001,3.00390625,10.056998810232002
3,5,6,0.6,0.7,15,150,384,0.19021130044520854,29883.32,23342635.885714285,5,29883.393333333333,0.25361506726027805,0.20666666666666667,0.05797206333705357,10375,29391,55572,0,0.3333333333333333,0.746384932739722,0.9420279366629465,0.75,1.875,0.6666666666666667,14.673646628261704,23.127443772999158,11.3125,67.890625,4.1511111111111125
3,3,4,0.6,0.7,15,150,1024,0.13373164604189489,38064.75213675214,23524238.222222224,3,38064.820512820515,0.29718143564865535,0.5811965811965812,0.02190865410698785,12255,57003,57003,0,0.37606837606837606,0.7028185643513447,0.9780913458930122,0.45,3,0.6239316239316239,13.051666924273478,24.894658368663116,3.5125,192.0625,3.499419972240485
3,5,6,0.7,0.8,20,500,1024,0.7777714070096244,7044.385462555066,27320074.24,5,7044.42731277533,0.3111085628038498,0,0.02544380187988281,2137,5617,20736,0,0.9096916299559471,0.6888914371961502,0.9745561981201172,2.5,5,0.0903083700440529,12.553176743250583,24.718550780478544,146.5,569.0625,0.0903083700440529
3,5,6,0.5,0.6,20,400,576,0.5485963008759179,7675.76,23454879.288888887,5,7675.8025,0.27429815043795897,0,0.038833881896219134,2536,6294,18586,0,0.865,0.7257018495620411,0.9611661181037808,2,2.8125,0.135,13.891781211006224,24.05717378287106,92.25,166.97265625,0.135
3,1,4,0.6,0.7,15,150,768,0.06745938645213638,12998.939781139454,25690112,1,12998.939795143839,0.4497292430142426,0.9999831947365915,0.031901041666666664,12999,12999,12999,0,0.000016805263408499544,0.5502707569857574,0.9680989583333334,0.15,0.75,0.9999831947365915,8.120218406827721,24.398488786485462,0.21249999999999997,7,11.239552984512002
3,5,6,0.7,0.7,15,150,576,0.2139721234233613,22199.982035928144,24648782.769230768,5,22200.047904191615,0.28529616456448176,0.029940119760479042,0.040810609475160256,8737,19339,49725,0,0.40119760479041916,0.7147038354355182,0.9591893905248398,0.75,2.8125,0.5988023952095809,13.484743145091524,23.96029656291018,11.3125,166.97265625,3.1434960020079608
3,5,6,0.6,0.7,15,400,384,0.6059622772528689,7877.65206185567,23468605.44,5.2,7877.7139175257735,0.29132801791003315,0,0.058284912109374996,2355,6068,19367,0.15999999999999998,0.8505154639175257,0.7086719820899668,0.941715087890625,2.08,1.9500000000000002,0.14948453608247425,13.264071437073026,23.112397756911815,100.09,74.2,0.14948453608247425
4,5,6,0.7,0.8,20,500,1024,0.7777714070096244,7044.385462555066,27320074.24,5,7044.42731277533,0.3111085628038498,0,0.02544380187988281,2137,5617,20736,0,0.9096916299559471,0.6888914371961502,0.9745561981201172,2.5,5,0.0903083700440529,12.553176743250583,24.718550780478544,146.5,569.0625,0.0903083700440529
4,1,4,0.5,0.7,20,400,576,0.17131747762230826,46010.109375,24649728,1,46010.151041666664,0.4282936940557706,0.6979166666666666,0.040812174479166664,27854,58250,58250,0,0.13541666666666666,0.5717063059442293,0.9591878255208334,0.4,0.5625,0.8645833333333334,8.742908812354148,23.96021994120545,2.650000000000001,3.00390625,7.931319444444443
4,3,4,0.6,0.7,15,150,384,0.13636627613822724,44700.8347107438,23334144,3.25,44700.90082644628,0.2797256946425174,0.6363636363636364,0.05795097351074219,17060,58642,58642,0.1875,0.23140495867768596,0.7202743053574826,0.9420490264892578,0.4875,1.21875,0.768595041322314,13.690151179312586,23.128458234223217,4.241406249999999,24.6806640625,5.941400177583497
4,5,6,0.7,0.7,15,150,576,0.2139721234233613,22199.982035928144,24648782.769230768,5,22200.047904191615,0.28529616456448176,0.029940119760479042,0.040810609475160256,8737,19339,49725,0,0.40119760479041916,0.7147038354355182,0.9591893905248398,0.75,2.8125,0.5988023952095809,13.484743145091524,23.96029656291018,11.3125,166.97265625,3.1434960020079608
4,5,6,0.6,0.7,15,400,1024,0.5972068491972955,7912.60880195599,23500554.240000002,5.4,7912.652811735941,0.2764846524061553,0,0.021886596679687502,2672,6972,19363,0.24,0.8581907090464548,0.7235153475938447,0.9781134033203125,2.16,5.4,0.14180929095354522,13.810376802689893,24.89575914719142,108.25000000000001,668.4625,0.14180929095354522
4,3,6,0.7,0.7,15,500,1024,0.5445430914712316,9278.755882352942,23767586.133333333,3,9278.814705882352,0.36302872764748767,0,0.022135289510091145,2574,8069,20788,0,0.7470588235294118,0.6369712723525123,0.9778647104899089,1.5,3,0.2529411764705882,10.780281317411971,24.883349511027735,50.5,192.0625,0.2977854671280276
4,5,6,0.6,0.7,15,150,384,0.19021130044520854,29883.32,23342635.885714285,5,29883.393333333333,0.25361506726027805,0.20666666666666667,0.05797206333705357,10375,29391,55572,0,0.3333333333333333,0.746384932739722,0.9420279366629465,0.75,1.875,0.6666666666666667,14.673646628261704,23.127443772999158,11.3125,67.890625,4.1511111111111125
4,5,6,0.5,0.6,20,400,576,0.5485963008759179,7675.76,23454879.288888887,5,7675.8025,0.27429815043795897,0,0.038833881896219134,2536,6294,18586,0,0.865,0.7257018495620411,0.9611661181037808,2,2.8125,0.135,13.891781211006224,24.05717378287106,92.25,166.97265625,0.135
4,3,4,0.6,0.7,15,150,1024,0.13373164604189489,38064.75213675214,23524238.222222224,3,38064.820512820515,0.29718143564865535,0.5811965811965812,0.02190865410698785,12255,57003,57003,0,0.37606837606837606,0.7028185643513447,0.9780913458930122,0.45,3,0.6239316239316239,13.051666924273478,24.894658368663116,3.5125,192.0625,3.499419972240485
4,5,6,0.6,0.7,15,400,384,0.6059622772528689,7877.65206185567,23468605.44,5.2,7877.7139175257735,0.29132801791003315,0,0.058284912109374996,2355,6068,19367,0.15999999999999998,0.8505154639175257,0.7086719820899668,0.941715087890625,2.08,1.9500000000000002,0.14948453608247425,13.264071437073026,23.112397756911815,100.09,74.2,0.14948453608247425
5,5,6,0.6,0.7,15,400,1024,0.5972068491972955,7912.60880195599,23500554.240000002,5.4,7912.652811735941,0.2764846524061553,0,0.021886596679687502,2672,6972,19363,0.24,0.8581907090464548,0.7235153475938447,0.9781134033203125,2.16,5.4,0.14180929095354522,13.810376802689893,24.89575914719142,108.25000000000001,668.4625,0.14180929095354522
5,1,6,0.6,0.7,15,400,384,0.1854178907527808,51502.908256880735,24369834.666666668,1,51502.93348623853,0.463544726881952,0.8165137614678899,0.06052313910590278,58026,58026,58026,0,0.06422018348623854,0.5364552731180481,0.9394768608940972,0.4,0.375,0.9357798165137614,7.731061774522039,23.004896164779765,2.650000000000001,0.765625,9.597730830738152
5,3,6,0.7,0.7,15,500,1024,0.5445430914712316,9278.755882352942,23767586.133333333,3,9278.814705882352,0.36302872764748767,0,0.022135289510091145,2574,8069,20788,0,0.7470588235294118,0.6369712723525123,0.9778647104899089,1.5,3,0.2529411764705882,10.780281317411971,24.883349511027735,50.5,192.0625,0.2977854671280276
5,5,6,0.6,0.7,15,400,384,0.6059622772528689,7877.65206185567,23468605.44,5.2,7877.7139175257735,0.29132801791003315,0,0.058284912109374996,2355,6068,19367,0.15999999999999998,0.8505154639175257,0.7086719820899668,0.941715087890625,2.08,1.9500000000000002,0.14948453608247425,13.264071437073026,23.112397756911815,100.09,74.2,0.14948453608247425
5,5,6,0.7,0.7,15,500,1024,0.7162669534101295,6173.173038229376,23449964.08888889,5,6173.235412474849,0.28650678136405183,0,0.021839480929904516,1941,4574,15410,0,0.9436619718309859,0.7134932186359482,0.9781605190700955,2.5,5,0.05633802816901412,13.44030754462307,24.89811054575706,146.5,569.0625,0.05633802816901412
5,1,4,0.5,0.7,20,400,576,0.17131747762230826,46010.109375,24649728,1,46010.151041666664,0.4282936940557706,0.6979166666666666,0.040812174479166664,27854,58250,58250,0,0.13541666666666666,0.5717063059442293,0.9591878255208334,0.4,0.5625,0.8645833333333334,8.742908812354148,23.96021994120545,2.650000000000001,3.00390625,7.931319444444443
5,3,4,0.6,0.7,15,150,384,0.13636627613822724,44700.8347107438,23334144,3.25,44700.90082644628,0.2797256946425174,0.6363636363636364,0.05795097351074219,17060,58642,58642,0.1875,0.23140495867768596,0.7202743053574826,0.9420490264892578,0.4875,1.21875,0.768595041322314,13.690151179312586,23.128458234223217,4.241406249999999,24.6806640625,5.941400177583497
5,3,4,0.6,0.7,15,150,1024,0.13373164604189489,38064.75213675214,23524238.222222224,3,38064.820512820515,0.29718143564865535,0.5811965811965812,0.02190865410698785,12255,57003,57003,0,0.37606837606837606,0.7028185643513447,0.9780913458930122,0.45,3,0.6239316239316239,13.051666924273478,24.894658368663116,3.5125,192.0625,3.499419972240485
5,5,6,0.7,0.8,20,500,384,0.6942709927071833,6266.3938144329895,23417924.266666666,5,6266.428865979381,0.27770839708287337,0,0.05815904405381944,1609,5303,16883,0,0.9134020618556701,0.7222916029171267,0.9418409559461806,2.5,1.875,0.08659793814432992,13.764920594031931,23.11845061338656,146.5,67.890625,0.08659793814432992
5,5,6,0.7,0.8,20,500,1024,0.7777714070096244,7044.385462555066,27320074.24,5,7044.42731277533,0.3111085628038498,0,0.02544380187988281,2137,5617,20736,0,0.9096916299559471,0.6888914371961502,0.9745561981201172,2.5,5,0.0903083700440529,12.553176743250583,24.718550780478544,146.5,569.0625,0.0903083700440529
6,5,6,0.7,0.8,20,500,1024,0.7777714070096244,7044.385462555066,27320074.24,5,7044.42731277533,0.3111085628038498,0,0.02544380187988281,2137,5617,20736,0,0.9096916299559471,0.6888914371961502,0.9745561981201172,2.5,5,0.0903083700440529,12.553176743250583,24.718550780478544,146.5,569.0625,0.0903083700440529
6,5,6,0.6,0.7,15,150,384,0.24312406131490652,23690.105263157893,23376313.107692305,5,23690.197368421053,0.32416541508654206,0.013157894736842105,0.05805570162259615,9805,18572,55880,0,0.3881578947368421,0.6758345849134579,0.9419442983774039,0.75,1.875,0.611842105263158,12.09464423904211,23.123420829519894,11.3125,67.890625,3.325664819944599
6,3,6,0.7,0.7,15,500,1024,0.5445430914712316,9278.755882352942,23767586.133333333,3,9278.814705882352,0.36302872764748767,0,0.022135289510091145,2574,8069,20788,0,0.7470588235294118,0.6369712723525123,0.9778647104899089,1.5,3,0.2529411764705882,10.780281317411971,24.883349511027735,50.5,192.0625,0.2977854671280276
6,5,6,0.7,0.8,20,500,384,0.6942709927071833,6266.3938144329895,23417924.266666666,5,6266.428865979381,0.27770839708287337,0,0.05815904405381944,1609,5303,16883,0,0.9134020618556701,0.7222916029171267,0.9418409559461806,2.5,1.875,0.08659793814432992,13.764920594031931,23.11845061338656,146.5,67.890625,0.08659793814432992
6,1,4,0.5,0.7,20,400,576,0.17131747762230826,46010.109375,24649728,1,46010.151041666664,0.4282936940557706,0.6979166666666666,0.040812174479166664,27854,58250,58250,0,0.13541666666666666,0.5717063059442293,0.9591878255208334,0.4,0.5625,0.8645833333333334,8.742908812354148,23.96021994120545,2.650000000000001,3.00390625,7.931319444444443
6,1,6,0.6,0.7,15,400,384,0.1854178907527808,51502.908256880735,24369834.666666668,1,51502.93348623853,0.463544726881952,0.8165137614678899,0.06052313910590278,58026,58026,58026,0,0.06422018348623854,0.5364552731180481,0.9394768608940972,0.4,0.375,0.9357798165137614,7.731061774522039,23.004896164779765,2.650000000000001,0.765625,9.597730830738152
6,5,6,0.6,0.7,15,400,1024,0.5972068491972955,7912.60880195599,23500554.240000002,5.4,7912.652811735941,0.2764846524061553,0,0.021886596679687502,2672,6972,19363,0.24,0.8581907090464548,0.7235153475938447,0.9781134033203125,2.16,5.4,0.14180929095354522,13.810376802689893,24.89575914719142,108.25000000000001,668.4625,0.14180929095354522
6,3,4,0.6,0.7,15,150,1024,0.13373164604189489,38064.75213675214,23524238.222222224,3,38064.820512820515,0.29718143564865535,0.5811965811965812,0.02190865410698785,12255,57003,57003,0,0.37606837606837606,0.7028185643513447,0.9780913458930122,0.45,3,0.6239316239316239,13.051666924273478,24.894658368663116,3.5125,192.0625,3.499419972240485
6,5,6,0.7,0.7,15,500,1024,0.7162669534101295,6173.173038229376,23449964.08888889,5,6173.235412474849,0.28650678136405183,0,0.021839480929904516,1941,4574,15410,0,0.9436619718309859,0.7134932186359482,0.9781605190700955,2.5,5,0.05633802816901412,13.44030754462307,24.89811054575706,146.5,569.0625,0.05633802816901412
6,3,6,0.6,0.7,15,150,384,0.18164607371163022,33141.52252252252,23324982.303030305,3.8181818181818183,33141.56756756757,0.31715981124252896,0.2882882882882883,0.05792822019018307,8153,27706,58708,1.7851239669421488,0.27927927927927926,0.6828401887574711,0.9420717798098169,0.5727272727272728,1.4318181818181819,0.7207207207207207,12.339608273315939,23.129552737660717,6.159504132231406,36.349173553719005,5.05912182452723
7,5,6,0.7,0.8,20,500,384,0.6942709927071833,6266.3938144329895,23417924.266666666,5,6266.428865979381,0.27770839708287337,0,0.05815904405381944,1609,5303,16883,0,0.9134020618556701,0.7222916029171267,0.9418409559461806,2.5,1.875,0.08659793814432992,13.764920594031931,23.11845061338656,146.5,67.890625,0.08659793814432992
7,5,6,0.6,0.7,15,150,384,0.24312406131490652,23690.105263157893,23376313.107692305,5,23690.197368421053,0.32416541508654206,0.013157894736842105,0.05805570162259615,9805,18572,55880,0,0.3881578947368421,0.6758345849134579,0.9419442983774039,0.75,1.875,0.611842105263158,12.09464423904211,23.123420829519894,11.3125,67.890625,3.325664819944599
7,1,6,0.6,0.7,15,400,384,0.1854178907527808,51502.908256880735,24369834.666666668,1,51502.93348623853,0.463544726881952,0.8165137614678899,0.06052313910590278,58026,58026,58026,0,0.06422018348623854,0.5364552731180481,0.9394768608940972,0.4,0.375,0.9357798165137614,7.731061774522039,23.004896164779765,2.650000000000001,0.765625,9.597730830738152
7,5,6,0.7,0.8,15,500,1024,0.691270037044993,6294.993914807303,23484916.622222222,5,6295.0669371196755,0.2765080148179972,0,0.021872033013237847,2233,4723,16509,0,0.9330628803245437,0.7234919851820028,0.9781279669867622,2.5,5,0.06693711967545635,13.809508300746884,24.896485962028176,146.5,569.0625,0.06693711967545635
7,3,4,0.6,0.7,15,150,1024,0.13373164604189489,38064.75213675214,23524238.222222224,3,38064.820512820515,0.29718143564865535,0.5811965811965812,0.02190865410698785,12255,57003,57003,0,0.37606837606837606,0.7028185643513447,0.9780913458930122,0.45,3,0.6239316239316239,13.051666924273478,24.894658368663116,3.5125,192.0625,3.499419972240485
7,5,6,0.6,0.7,15,400,1024,0.5972068491972955,7912.60880195599,23500554.240000002,5.4,7912.652811735941,0.2764846524061553,0,0.021886596679687502,2672,6972,19363,0.24,0.8581907090464548,0.7235153475938447,0.9781134033203125,2.16,5.4,0.14180929095354522,13.810376802689893,24.89575914719142,108.25000000000001,668.4625,0.14180929095354522
7,3,4,0.7,0.7,15,150,1024,0.15806520931459647,38836.97872340425,23419997.09090909,3.090909090909091,38837.05319148936,0.3409249612667767,0.43617021276595747,0.02181157198819247,18475,49002,58179,0.08264462809917356,0.13829787234042554,0.6590750387332234,0.9781884280118075,0.4636363636363636,3.090909090909091,0.8617021276595744,11.51857270576322,24.899503445417082,3.7694214876033065,204.860020661157,7.867297419646899
